ticker,shortName,sector,industry,lastPrice,rank_overall,rank_raw,score_FINAL_adj,score_FINAL,rating,data_completeness_pct,metrics_with_data,metrics_total,score_valuation,score_profitability,score_growth,score_financial_health,score_trailingPE,score_forwardPE,score_trailingPegRatio,score_priceToBook,score_priceToSalesTrailing12Months,score_enterpriseToEbitda,score_returnOnEquity,score_returnOnAssets,score_profitMargins,score_grossMargins,score_operatingMargins,score_ebitdaMargins,score_revenueGrowth,score_earningsGrowth,score_earningsQuarterlyGrowth,score_debtToEquity,score_currentRatio,score_quickRatio,score_freeCashflow
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,188.61000061035156,213,240,5.08,5.08,🔶 Neutral,100.0,19,19,3.89,5.76,6.84,3.83,5.29,2.75,3.33,6.62,1.94,3.33,2.45,2.88,8.5,7.2,9.03,8.93,7.93,5.83,6.76,5.85,4.22,4.52,0.45
TXN,Texas Instruments Incorporated,Technology,Semiconductors,207.63999938964844,216,244,5.07,5.07,🔶 Neutral,100.0,19,19,2.42,8.19,4.66,5.67,1.96,1.5,6.41,1.38,0.65,1.4,7.89,8.32,8.79,7.14,8.6,8.64,6.76,3.4,3.67,3.66,9.7,9.63,0.9
HII,"Huntington Ingalls Industries, ",Industrials,Aerospace & Defense,411.1700134277344,216,244,5.07,5.07,🔶 Neutral,100.0,19,19,4.94,2.37,7.94,5.03,4.37,3.16,5.61,4.62,8.28,3.74,3.78,3.27,1.85,0.9,1.14,1.55,8.16,7.72,7.93,6.54,4.24,7.01,2.41
MTD,"Mettler-Toledo International, I",Healthcare,Diagnostics & Research,1318.135009765625,216,204,5.07,5.23,🔶 Neutral,89.5,17,19,3.34,7.17,6.39,4.21,3.31,1.61,2.19,9.98,1.83,1.51,4.19,9.74,7.89,7.46,8.0,6.82,5.84,6.79,6.58,5.83,4.33,3.85,2.45
GEHC,GE HealthCare Technologies Inc.,Healthcare,Medical Devices,73.56999969482422,219,246,5.05,5.05,🔶 Neutral,100.0,19,19,6.8,4.81,2.85,5.47,8.06,7.03,5.78,4.58,7.63,7.94,6.84,5.57,3.53,4.07,3.63,3.08,4.59,1.91,1.93,3.46,6.34,6.86,5.91
COO,"The Cooper Companies, Inc.",Healthcare,Medical Instruments & Supplies,71.66999816894531,220,248,5.04,5.04,🔶 Neutral,100.0,19,19,4.88,3.96,6.41,4.92,2.24,6.62,4.32,7.76,4.41,4.21,1.18,2.86,3.4,8.13,5.96,5.94,4.12,7.63,7.66,8.21,6.15,2.88,1.36
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,49.415000915527344,221,163,5.03,5.46,🔶 Neutral,73.7,14,19,7.8,3.31,4.7,5.6,9.05,8.69,7.63,9.1,4.34,7.16,2.09,0.48,8.93,0.23,8.28,0.36,2.58,6.06,5.59,7.22,3.66,4.09,6.78
JBL,Jabil Inc.,Technology,Electronic Components,288.2099914550781,221,234,5.03,5.11,🔶 Neutral,94.7,18,19,4.38,3.97,9.27,2.45,1.78,3.38,6.81,0.5,8.71,6.07,9.36,5.5,1.05,0.67,0.88,1.27,9.03,9.42,9.38,0.71,2.99,2.36,4.06
PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,171.85499572753906,221,250,5.03,5.03,🔶 Neutral,100.0,19,19,0.78,4.99,8.68,6.9,0.28,0.34,2.09,1.21,0.32,0.07,5.63,2.67,5.53,8.86,3.55,2.6,8.06,9.0,9.02,9.68,3.25,6.37,7.63
FOX,Fox Corporation,Communication Services,Entertainment,54.06999969482422,221,250,5.03,5.03,🔶 Neutral,100.0,19,19,6.53,4.88,1.44,7.47,9.03,8.0,0.21,6.73,7.85,8.93,5.69,7.56,4.01,3.21,2.48,4.1,2.07,1.11,1.07,5.88,9.13,9.45,6.14
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,303.875,221,250,5.03,5.03,🔶 Neutral,100.0,19,19,2.12,6.76,7.36,4.33,4.21,2.07,0.49,4.06,0.17,1.29,4.47,0.9,9.96,9.96,9.87,9.87,5.79,8.09,8.34,9.35,3.11,0.07,2.92
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,133.4250030517578,221,250,5.03,5.03,🔶 Neutral,100.0,19,19,3.17,6.91,3.53,7.34,2.79,2.24,7.66,1.63,1.89,1.03,7.93,6.8,7.66,9.59,1.94,3.96,7.3,1.53,1.45,8.54,6.37,5.72,8.15
COF,Capital One Financial Corporati,Financial Services,Credit Services,191.15989685058594,221,163,5.03,5.46,🔶 Neutral,73.7,14,19,6.19,1.49,8.82,5.12,0.82,9.48,9.91,8.93,3.96,2.14,0.82,0.26,2.54,0.23,6.54,0.36,9.74,7.36,9.44,2.51,4.72,3.8,9.71
PODD,Insulet Corporation,Healthcare,Medical Devices,205.3699951171875,228,278,5.02,5.02,🔶 Neutral,100.0,19,19,2.59,5.9,6.11,6.19,0.77,1.72,6.79,1.68,2.54,1.01,6.13,7.83,3.21,8.73,4.52,3.93,9.45,4.43,4.19,5.98,9.16,9.08,1.16
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,90.3499984741211,228,278,5.02,5.02,🔶 Neutral,100.0,19,19,5.7,3.33,4.97,6.16,1.35,6.13,9.4,8.45,4.13,4.37,0.92,1.33,2.86,6.77,5.75,6.69,4.0,6.3,4.54,7.46,7.48,7.94,1.87
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,250.60000610351562,228,236,5.02,5.1,🔶 Neutral,94.7,18,19,0.95,6.99,7.42,6.07,0.64,0.32,2.74,0.73,0.49,0.34,7.98,8.71,7.07,3.08,7.23,6.54,7.99,7.16,7.07,6.43,8.45,6.0,3.31
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,214.85499572753906,231,220,5.01,5.17,🔶 Neutral,89.5,17,19,6.18,1.95,7.56,4.69,3.42,3.87,6.93,9.64,9.78,4.19,4.3,2.75,0.67,0.49,0.43,0.73,8.57,7.05,6.99,5.43,2.27,1.53,8.75
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,756.9949951171875,232,281,5.0,5.0,🔶 Neutral,100.0,19,19,6.15,6.59,3.1,3.68,7.16,6.54,7.56,3.08,5.72,5.76,7.72,7.42,6.37,3.83,7.03,6.26,2.36,3.63,3.35,1.68,2.56,4.7,6.37
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,271.5400085449219,233,228,4.99,5.15,⚠️ Débil,89.5,17,19,2.92,9.31,5.86,2.43,3.5,1.38,1.68,9.51,0.21,1.53,7.62,10.0,9.89,9.74,9.91,9.79,5.58,6.21,5.76,3.86,0.6,2.03,2.88
RF,Regions Financial Corporation,Financial Services,Banks - Regional,27.34000015258789,234,173,4.98,5.41,⚠️ Débil,73.7,14,19,7.47,3.84,4.36,5.6,9.27,8.77,5.96,8.58,4.47,7.16,3.44,0.84,9.18,0.23,9.05,0.36,4.29,4.62,4.13,7.22,3.66,4.09,6.78
HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,,234,284,4.98,4.98,⚠️ Débil,100.0,19,19,4.79,5.82,2.48,7.34,3.18,5.76,5.81,4.56,3.44,6.37,3.17,6.84,5.66,7.66,6.56,7.23,2.28,2.6,2.56,7.4,9.66,9.79,2.97
